Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2025-08-28 00:00:00+00:00,347.7200012207031,355.489990234375,347.7200012207031,354.2900085449219,1081300,0.0,0.0
2025-08-29 00:00:00+00:00,353.6000061035156,355.2300109863281,346.19000244140625,350.42999267578125,1304300,0.0,0.0
2025-09-02 00:00:00+00:00,343.95001220703125,346.8599853515625,340.6700134277344,342.80999755859375,1202500,0.0,0.0
2025-09-03 00:00:00+00:00,340.8800048828125,347.42999267578125,340.57000732421875,347.32000732421875,1141100,0.0,0.0
2025-09-04 00:00:00+00:00,346.92999267578125,350.1199951171875,344.42999267578125,349.3299865722656,905400,0.0,0.0
2025-09-05 00:00:00+00:00,353.0299987792969,355.30999755859375,345.8800048828125,351.010009765625,1115800,0.0,0.0
2025-09-08 00:00:00+00:00,353.6700134277344,361.3599853515625,353.0,360.6400146484375,1773400,0.0,0.0
2025-09-09 00:00:00+00:00,362.0,362.7099914550781,356.3999938964844,361.7699890136719,1271800,0.0,0.0
2025-09-10 00:00:00+00:00,348.5,348.5299987792969,326.3500061035156,338.5299987792969,5847800,0.0,0.0
2025-09-11 00:00:00+00:00,342.3599853515625,357.760009765625,338.8999938964844,354.70001220703125,3571600,0.0,0.0
2025-09-12 00:00:00+00:00,353.4700012207031,355.07000732421875,342.0899963378906,343.4800109863281,1616900,0.0,0.0
2025-09-15 00:00:00+00:00,343.1700134277344,352.0,342.260009765625,351.5199890136719,1405100,0.0,0.0
2025-09-16 00:00:00+00:00,350.1700134277344,352.57000732421875,347.95001220703125,349.010009765625,1459000,0.0,0.0
2025-09-17 00:00:00+00:00,349.8800048828125,349.8800048828125,341.20001220703125,347.2699890136719,1671600,0.0,0.0
2025-09-18 00:00:00+00:00,359.5,366.04998779296875,356.42999267578125,364.8800048828125,1762800,0.0,0.0
2025-09-19 00:00:00+00:00,367.260009765625,374.29998779296875,365.5199890136719,373.3500061035156,5005100,0.0,0.0
2025-09-22 00:00:00+00:00,370.0,373.8999938964844,364.70001220703125,373.3699951171875,1620300,0.0,0.0
2025-09-23 00:00:00+00:00,370.9800109863281,371.8399963378906,363.9800109863281,366.29998779296875,1527900,0.0,0.0
2025-09-24 00:00:00+00:00,366.7099914550781,366.7099914550781,355.79998779296875,356.9599914550781,1655800,0.0,0.0
2025-09-25 00:00:00+00:00,352.5199890136719,355.0299987792969,350.0299987792969,351.05999755859375,1921200,0.0,0.0
2025-09-26 00:00:00+00:00,349.9200134277344,351.0899963378906,346.989990234375,350.1099853515625,1299300,0.0,0.0
2025-09-29 00:00:00+00:00,352.8800048828125,352.8800048828125,347.80999755859375,348.5199890136719,1207600,0.0,0.0
2025-09-30 00:00:00+00:00,349.20001220703125,352.04998779296875,346.9200134277344,351.260009765625,1195200,0.0,0.0
2025-10-01 00:00:00+00:00,348.2699890136719,355.1499938964844,347.4100036621094,351.9700012207031,1156800,0.0,0.0
2025-10-02 00:00:00+00:00,354.54998779296875,355.1400146484375,346.3500061035156,347.239990234375,1649600,0.0,0.0
2025-10-03 00:00:00+00:00,347.239990234375,353.1499938964844,345.0,347.2699890136719,1056300,0.0,0.0
2025-10-06 00:00:00+00:00,350.0,354.8500061035156,350.0,353.3599853515625,1441200,0.0,0.0
2025-10-07 00:00:00+00:00,352.70001220703125,353.3299865722656,342.0799865722656,345.4800109863281,949300,0.0,0.0
2025-10-08 00:00:00+00:00,346.07000732421875,354.260009765625,346.07000732421875,350.0,1292800,0.0,0.0
2025-10-09 00:00:00+00:00,348.25,348.7699890136719,343.5799865722656,348.6700134277344,1227200,0.0,0.0
2025-10-10 00:00:00+00:00,348.1000061035156,350.260009765625,325.8599853515625,327.0,2156100,0.0,0.0
2025-10-13 00:00:00+00:00,329.75,334.20001220703125,324.94000244140625,332.2300109863281,1724000,0.0,0.0
2025-10-14 00:00:00+00:00,324.5,329.8500061035156,318.0199890136719,325.75,1602500,0.0,0.0
2025-10-15 00:00:00+00:00,330.6499938964844,330.6499938964844,321.3900146484375,324.1000061035156,1599600,0.0,0.0
2025-10-16 00:00:00+00:00,326.17999267578125,327.04998779296875,320.0799865722656,324.25,1788400,0.0,0.0
2025-10-17 00:00:00+00:00,322.5899963378906,328.2099914550781,320.0,326.1199951171875,1481700,0.0,0.0
2025-10-20 00:00:00+00:00,327.7900085449219,331.1199951171875,326.3900146484375,329.6400146484375,1458300,0.0,0.0
2025-10-21 00:00:00+00:00,327.5299987792969,335.1199951171875,327.1099853515625,333.45001220703125,1258400,0.0,0.0
2025-10-22 00:00:00+00:00,333.44000244140625,336.5,326.1600036621094,330.510009765625,1996400,0.0,0.0
2025-10-23 00:00:00+00:00,329.29998779296875,338.17999267578125,327.6199951171875,337.2699890136719,1533700,0.0,0.0
2025-10-24 00:00:00+00:00,339.760009765625,351.1300048828125,339.760009765625,345.1000061035156,1856400,0.0,0.0
2025-10-27 00:00:00+00:00,357.5299987792969,357.5299987792969,346.0,351.3999938964844,4236500,0.0,0.0
2025-10-28 00:00:00+00:00,339.010009765625,348.0799865722656,327.1700134277344,341.29998779296875,3216000,0.0,0.0
2025-10-29 00:00:00+00:00,337.29998779296875,347.0,334.0,341.42999267578125,2412600,0.0,0.0
2025-10-30 00:00:00+00:00,340.0,342.20001220703125,333.4100036621094,336.0899963378906,1559500,0.0,0.0
2025-10-31 00:00:00+00:00,338.7300109863281,340.7300109863281,336.2200012207031,338.69000244140625,1429800,0.0,0.0
2025-11-03 00:00:00+00:00,341.7099914550781,341.7099914550781,331.0,335.4100036621094,1469100,0.0,0.0
2025-11-04 00:00:00+00:00,330.05999755859375,336.05999755859375,325.5899963378906,333.2200012207031,3048000,0.0,0.0
2025-11-05 00:00:00+00:00,331.95001220703125,332.55999755859375,324.2300109863281,327.6300048828125,2229600,0.0,0.0
2025-11-06 00:00:00+00:00,324.94000244140625,327.260009765625,318.57000732421875,324.45001220703125,3178000,0.0,0.0
2025-11-07 00:00:00+00:00,324.489990234375,326.6099853515625,319.19000244140625,325.04998779296875,1612800,0.0,0.0
2025-11-10 00:00:00+00:00,326.55999755859375,330.8399963378906,323.32000732421875,328.94000244140625,2008200,0.0,0.0
2025-11-11 00:00:00+00:00,326.5299987792969,326.7900085449219,316.2200012207031,318.510009765625,1905500,0.0,0.0
2025-11-12 00:00:00+00:00,320.92999267578125,321.6300048828125,314.760009765625,315.5400085449219,1649900,0.0,0.0
2025-11-13 00:00:00+00:00,314.8900146484375,317.4700012207031,312.989990234375,315.989990234375,1773600,0.0,0.0
2025-11-14 00:00:00+00:00,311.8500061035156,319.6499938964844,310.6499938964844,314.92999267578125,1363700,0.0,0.0
2025-11-17 00:00:00+00:00,313.5400085449219,315.8299865722656,309.6400146484375,311.2900085449219,1519700,0.0,0.0
2025-11-18 00:00:00+00:00,307.7300109863281,310.3399963378906,302.1400146484375,303.2099914550781,2025900,0.0,0.0
2025-11-19 00:00:00+00:00,304.2099914550781,310.1199951171875,302.42999267578125,306.760009765625,1434800,0.0,0.0
2025-11-20 00:00:00+00:00,312.1499938964844,316.7099914550781,301.6300048828125,302.1400146484375,1570500,0.0,0.0
2025-11-21 00:00:00+00:00,301.9200134277344,303.8999938964844,295.17999267578125,300.5799865722656,1748300,0.0,0.0
2025-11-24 00:00:00+00:00,303.3699951171875,305.7200012207031,299.6499938964844,304.4700012207031,2997000,0.0,0.0
2025-11-25 00:00:00+00:00,300.75,305.75,298.1700134277344,303.6600036621094,1976100,0.0,0.0
2025-11-26 00:00:00+00:00,307.04998779296875,308.17999267578125,304.0299987792969,306.3500061035156,1396700,0.0,0.0
