Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2025-08-28 00:00:00+00:00,164.05999755859375,166.27000427246094,161.9600067138672,165.77000427246094,7297800,0.0,0.0
2025-08-29 00:00:00+00:00,166.41000366210938,167.2899932861328,165.1699981689453,167.1300048828125,5358000,0.0,0.0
2025-09-02 00:00:00+00:00,166.57000732421875,168.0399932861328,163.3800048828125,167.39999389648438,6013500,0.0,0.0
2025-09-03 00:00:00+00:00,165.6999969482422,166.89999389648438,161.16000366210938,163.22000122070312,7329600,0.0,0.0
2025-09-04 00:00:00+00:00,162.16000366210938,164.5,159.7899932861328,161.14999389648438,7839100,0.0,0.0
2025-09-05 00:00:00+00:00,161.47000122070312,162.05999755859375,160.07000732421875,161.5500030517578,4056700,0.0,0.0
2025-09-08 00:00:00+00:00,161.66000366210938,162.7899932861328,159.57000732421875,162.72000122070312,6055800,0.0,0.0
2025-09-09 00:00:00+00:00,162.1300048828125,165.0399932861328,161.10000610351562,164.74000549316406,3845800,0.0,0.0
2025-09-10 00:00:00+00:00,164.77999877929688,165.8300018310547,164.02000427246094,165.30999755859375,3979500,0.0,0.0
2025-09-11 00:00:00+00:00,165.89999389648438,169.86000061035156,165.1999969482422,167.89999389648438,4800300,0.0,0.0
2025-09-12 00:00:00+00:00,167.32000732421875,168.8000030517578,165.10000610351562,166.11000061035156,3691500,0.0,0.0
2025-09-15 00:00:00+00:00,165.50999450683594,165.50999450683594,161.47000122070312,161.63999938964844,5584100,0.0,0.0
2025-09-16 00:00:00+00:00,162.02999877929688,164.3699951171875,161.42999267578125,162.9600067138672,6281200,0.0,0.0
2025-09-17 00:00:00+00:00,163.7899932861328,167.0800018310547,163.33999633789062,166.3000030517578,5590800,0.0,0.0
2025-09-18 00:00:00+00:00,163.99000549316406,164.72000122070312,161.1199951171875,161.75999450683594,6547700,0.0,0.0
2025-09-19 00:00:00+00:00,162.4199981689453,163.7899932861328,161.3300018310547,162.9499969482422,10489000,0.0,0.0
2025-09-22 00:00:00+00:00,162.17999267578125,163.4600067138672,159.91000366210938,161.97999572753906,5735000,0.0,0.0
2025-09-23 00:00:00+00:00,161.8699951171875,164.1699981689453,161.00999450683594,163.77000427246094,4622100,0.0,0.0
