Date,Close,High,Low,n,Open,Volume,vw,Dividends,Stock Splits
2020-07-27 00:00:00+00:00,154.33,156.35,152.83,1156,153.24,95187,154.36,0.0,0.0
2020-07-28 00:00:00+00:00,152.15,154.41,151.85,1321,153.84,99122,153.03,0.0,0.0
2020-07-29 00:00:00+00:00,155.19,155.57,152.17,730,152.17,55314,154.45,0.0,0.0
2020-07-30 00:00:00+00:00,150.64,153.1,150.42,1138,152.99,221475,151.25,0.0,0.0
2020-07-31 00:00:00+00:00,151.12,151.37,146.2,1501,150.3,167419,149.0,0.0,0.0
2020-08-03 00:00:00+00:00,150.13,152.11,149.84,808,151.67,63703,150.5,0.0,0.0
2020-08-04 00:00:00+00:00,151.41,151.41,149.69,617,149.71,41130,150.57,0.0,0.0
2020-08-05 00:00:00+00:00,154.81,155.25,152.11,1320,152.11,223387,154.41,0.0,0.0
2020-08-06 00:00:00+00:00,156.61,157.51,154.7,761,154.97,93908,156.74,0.0,0.0
2020-08-07 00:00:00+00:00,159.52,159.56,156.33,1096,156.49,73091,158.14,0.0,0.0
2020-08-10 00:00:00+00:00,162.9,163.33,160.17,1185,160.17,79696,162.39,0.0,0.0
2020-08-11 00:00:00+00:00,166.08,169.13,165.33,1887,165.33,144159,167.52,0.0,0.0
2020-08-12 00:00:00+00:00,167.48,168.79,166.4,1306,167.59,125615,167.78,0.0,0.0
2020-08-13 00:00:00+00:00,165.5,167.12,164.99,1487,165.7,90572,165.53,0.0,0.0
2020-08-14 00:00:00+00:00,167.47,168.88,165.12,1067,165.12,101274,167.6,0.0,0.0
2020-08-17 00:00:00+00:00,169.06,170.16,167.9,971,167.96,59511,169.19,0.0,0.0
2020-08-18 00:00:00+00:00,166.35,169.41,166.34,1213,169.28,63302,167.17,0.0,0.0
2020-08-19 00:00:00+00:00,166.55,167.59,166.38,1478,167.21,105944,166.93,0.0,0.0
2020-08-20 00:00:00+00:00,165.64,166.26,164.48,1147,165.15,53881,165.77,0.0,0.0
2020-08-21 00:00:00+00:00,167.14,167.27,164.83,1362,165.33,78690,166.06,0.0,0.0
2020-08-24 00:00:00+00:00,167.91,168.09,166.74,1169,167.72,54512,167.54,0.0,0.0
2020-08-25 00:00:00+00:00,169.95,170.16,168.29,1068,168.54,70560,169.29,0.0,0.0
2020-08-26 00:00:00+00:00,169.4,170.29,167.79,798,169.07,39150,169.33,0.0,0.0
2020-08-27 00:00:00+00:00,169.57,170.7,169.53,618,169.79,28015,170.01,0.0,0.0
2020-08-28 00:00:00+00:00,171.07,171.48,169.2,805,169.65,74660,169.86,0.0,0.0
2020-08-31 00:00:00+00:00,168.58,171.99,168.38,1052,170.87,66231,169.64,0.0,0.0
2020-09-01 00:00:00+00:00,171.65,171.68,167.76,1291,168.1,72163,170.51,0.0,0.0
2020-09-02 00:00:00+00:00,171.98,173.03,170.44,2093,172.41,226804,171.65,0.0,0.0
2020-09-03 00:00:00+00:00,167.08,173.31,165.96,2288,173.31,227248,167.76,0.0,0.0
2020-09-04 00:00:00+00:00,167.55,170.18,165.44,2072,168.75,344216,167.19,0.0,0.0
2020-09-08 00:00:00+00:00,165.33,167.85,165.25,1418,166.91,96402,166.32,0.0,0.0
2020-09-09 00:00:00+00:00,169.21,170.86,166.71,2077,166.71,111199,169.34,0.0,0.0
2020-09-10 00:00:00+00:00,169.44,170.58,168.66,1267,169.76,93530,169.45,0.0,0.0
2020-09-11 00:00:00+00:00,171.8,172.97,170.18,1090,170.18,50473,171.73,0.0,0.0
2020-09-14 00:00:00+00:00,174.32,175.19,172.58,1814,172.96,76684,174.24,0.0,0.0
