publishedAt,Title,description,url,source
2026-08-30 10:11:13+00:00,Washington Trust Bank Lowers Stock Position in Starbucks Corporation $SBUX - MarketBeat,Washington Trust Bank Lowers Stock Position in Starbucks Corporation $SBUX - MarketBeat,https://news.google.com/rss/articles/CBMizwFBVV95cUxNcjluM3pyQ1p3aElPN1dvQXo4cXY0ekdyNFdlT091bnBMZ0hKdEhPcXluX0JpLXoyRlM2bS1QMThJb19BeUJVVXlPZThGTV9zRkwtNlAzNG15N1hOTFhIVi04RHhvQVY2YVhOT3hnS0FWcngwRm5lQnpSNU9xNzh0US1CMElxR1NhbVVROHdQMXJ3TFp0WEQwNTJOdDZqUkJzNWplMEVBeUNGeE8yaTltVk1JNnlVRk1GbE9MZ3ZhWmp4SWsyNngwZlhPTnhoWWM?oc=5,{'name': 'MarketBeat'}
2026-08-29 09:44:28+00:00,SBUX Stock Jumps After-Hours On Strong 2026 Sales Guidance; Q2 Sales Top Estimates - Stocktwits,SBUX Stock Jumps After-Hours On Strong 2026 Sales Guidance; Q2 Sales Top Estimates - Stocktwits,https://news.google.com/rss/articles/CBMi3gFBVV95cUxQRFBFang5a2hqdGFUSzh3NC1iWjBpVVltNkdSYS00QS1FTU91RHNGY1ZPaWpfX1FVT3NrVEJxUm1oM2ZaSHpSRFFhOVVVSFRqVVdlRXozMkk4cVBmLVpBaHBycWJPejJpbXYwNWJsdkp0QmZpN3Y0dEw3VUJ1c0FjemNIeEowUU1KUGFCR2FFY3dCVjdaMXV3Uy0zX1o2WXc0cXphNTB0UGxrZDZIa1R4eVA2cXo5eEd3NlM0VmVHVEJSMnJLelRrR1h0T09SLUdEazFvOUR3djFfU2p0Tmc?oc=5,{'name': 'Stocktwits'}
2026-08-27 08:50:36+00:00,Starbucks (NASDAQ:SBUX) Presents a Strong Technical Breakout Setup - ChartMill,Starbucks (NASDAQ:SBUX) Presents a Strong Technical Breakout Setup - ChartMill,https://news.google.com/rss/articles/CBMitgFBVV95cUxOd1ZlY0lWaWdhLWNwdGVsb3cyM0N2M2JYdG5VU282UVZQQS0zTHhZWWc0cTFyMWdNN0lqRV9lV2Z0dDF0aWlfUjJRSnk2MEVqeG0tSjUxYkJJYWtkX09yQ213cDZmU2ptU0E5U0E5aTRZaWNsY3pXc0RvZGZmdXFPckJYRkJVcmJLYlk1WmhyckZEZGNibTdNZU5UbXdoRXJCckFnQnM0aTV3MW54T0pqMWlnV2VSQQ?oc=5,{'name': 'ChartMill'}
2026-08-25 06:59:36+00:00,SBUX Stock Has Rallied Nearly 28% This Year: Why Baird Still Sees 15% Upside For Starbucks? - Yahoo Finance,SBUX Stock Has Rallied Nearly 28% This Year: Why Baird Still Sees 15% Upside For Starbucks? - Yahoo Finance,https://news.google.com/rss/articles/CBMimAFBVV95cUxPa1o1Um1ySzg2Ym9uXy1vRXdlYlZwOFhRMEs1SXNDaVoyMXlTV0VKNjFxRFBhUHo2WUZDWTVmWkI2U0lOUl9rdzZWbVUtMTJibTV2em9Xak85dWl0V2ctX3dVQkxycXEyRXptYVFDV21INzlyWEU5Um9xN3hXbG1mRDE1V05RdC02d2dCT0J4QUh1aGJtejB2NQ?oc=5,{'name': 'Yahoo Finance'}
2026-08-30 09:41:05+00:00,"Kingsview Wealth Management LLC Acquires Shares of 26,574 Starbucks Corporation $SBUX - MarketBeat","Kingsview Wealth Management LLC Acquires Shares of 26,574 Starbucks Corporation $SBUX - MarketBeat",https://news.google.com/rss/articles/CBMi3AFBVV95cUxQb0hVcHV0cHppNEs4ekRsc2Q5aW9UYzl5LUJvZi13aXN6TENCczd1U0ZhUzVVTnBZWDNxVk0tNjUyeHhUTm1Na1hJZFBiTThmZnVnVWhwMF9EUFlOVjRSVWQ3OUV4cEkzd3hPY0RIQTQzTTVRQXVxd0oydDZkcWpBZGxrV040Q1dUUnhQR3NQZDlCdVFkVS1VWHd5VUNCQlBFWWxyaXhGU1BzdXgzVVJJSnlPaHpETGJoRTFJX1lpcmpRSlF1Q2ltWGlEdGZPT0VBMmVYamdPUEtlUUJ4?oc=5,{'name': 'MarketBeat'}
2026-08-26 07:40:05+00:00,SBUX Stock Extends Rally: Starbucks Reportedly Explores Japan Stake Sale As CEO Sees More Global Growth Ahead - Stocktwits,SBUX Stock Extends Rally: Starbucks Reportedly Explores Japan Stake Sale As CEO Sees More Global Growth Ahead - Stocktwits,https://news.google.com/rss/articles/CBMi1AFBVV95cUxPYzRWUnZyaTZsTFhiSXpYanllZUdtemNmbGtGR0x4RDByN2NaTE9VaWFRN2RURVU4ZEVKa1l1a3FRQ1JVMFFEMWh4bWNyUVBrV200dVRIM2c1TmlpTUxsVHNvX1BLM0ZpOWNfcFVVakFXcFV5TnB1Y0RPLXFmSkZzc200Sm1nOWNpbmU3Uld3YmNLa0ZDTmkxX0pMdldlYzI1VzgzWDVQNnZNMVd4YjlnNHVRaEw4cUlQMDBuUDRFQ1Mxd3ktUzJqdXlTV2l0TjhLb1pscA?oc=5,{'name': 'Stocktwits'}
2026-08-17 07:00:00+00:00,Does Starbucks (SBUX) Justify Its Premium Valuation Today? - Yahoo Finance,Does Starbucks (SBUX) Justify Its Premium Valuation Today? - Yahoo Finance,https://news.google.com/rss/articles/CBMiogFBVV95cUxQV3dUUTVzOUhUYXJ3N0tjLUlibXdtYUVwdHJZeHpsU2NDeTBlZG5PTjNKaml6ano3UTNFSzYzd1psclNaZmd5TTVHYkFSVUpwbnFhTW9wWXlOMDNoelRxaURUUGYwb1AxYjRzWkVrczl6bExNbTVlamh0amxpQzBpNUdKX1hIWHkzWHBrYXRDNXoyc1lYYkNNbm9PalhMU25pMEE?oc=5,{'name': 'Yahoo Finance'}
2026-08-30 09:41:02+00:00,"Wellington Management Group LLP Acquires 1,077,415 Shares of Starbucks Corporation $SBUX - MarketBeat","Wellington Management Group LLP Acquires 1,077,415 Shares of Starbucks Corporation $SBUX - MarketBeat",https://news.google.com/rss/articles/CBMi3wFBVV95cUxPN3FhUjAxODVzZ1dacHd4Nm5VTWZKZkFObU1nd0ZVdjU3S05nZkNEenBpODREX25GNWgySjRqekRGMkRtZXEzaE5KSjA5MTdNQlZKcmkzaUhKY3VLczNXSjRyblN2cklGVmE1WEtBVUpocjMzMnRtcHNYLXdqVFdMTU5CZDJzUVY3NlZLM2I3Q0tpVUJNa3BEX2FGZTdKbXlSc1FhZVd6OVlMU3c1WTZwQkdnY2Z1eDdzOElQTUJqcWhBVGtFU0lxdE1WZnYyT0dVcFRaaHlaaXY0MjB6ZGFF?oc=5,{'name': 'MarketBeat'}
2026-08-30 10:27:11+00:00,Hollencrest Capital Management Cuts Stake in Starbucks Corporation $SBUX - MarketBeat,Hollencrest Capital Management Cuts Stake in Starbucks Corporation $SBUX - MarketBeat,https://news.google.com/rss/articles/CBMizAFBVV95cUxQSXFfYTJULWFqUG5US2xZb3V6QUVTa3NaTDJGZi1LeWR0aU5aNE1kQmdLOFN0RlE3aHR6Ty1SLWpPUU9Bb09TbGZNcDBTV2NLRTd4dnp0NnN5LUxDc3hWdG9ETl9GUnZrSy1DRmVRYXQ2NmxBNzMyTF9LVHU2RF9NRnU2cWpacEhJVDZLeGp2R1ljb2w4VVNkY1hsNUREcjdsb0FjSXVseXBpSlFsdjlVXy1Oa2VoOUlNRjBhbHJuQjI2eGY1SllTZHNnVUU?oc=5,{'name': 'MarketBeat'}
2026-08-30 07:10:09+00:00,Alyeska Investment Group L.P. Acquires New Position in Starbucks Corporation $SBUX - MarketBeat,Alyeska Investment Group L.P. Acquires New Position in Starbucks Corporation $SBUX - MarketBeat,https://news.google.com/rss/articles/CBMi1wFBVV95cUxOUmVtTi1KSGhoekt6QllyUUwzX2lzV3NONkNsQS0yQXozRnVOaW1kTF9yN3BZNzROU3pmTmpvVnhYVGxEdUtTRlRPa3VpUEVkYUIxZE9HcFJZbVo2UF82Y1VBYmhmbWotdUU1ZFNNaW12Qi11TnZaa1I4TC12NXNkLU5vc2pXN3NqaVp6UUlQdk0yWkhUek1aOEhpWW80aF9PMW1KNDNNSldFY2FYQVg5aGdMYTVEbUtqNEdGTzlXajdqVlluMEROaU9rbzBiMkFTYzJDWGZGZw?oc=5,{'name': 'MarketBeat'}
2026-08-30 08:40:40+00:00,"64,260 Shares in Starbucks Corporation $SBUX Acquired by Flputnam Investment Management Co. - MarketBeat","64,260 Shares in Starbucks Corporation $SBUX Acquired by Flputnam Investment Management Co. - MarketBeat",https://news.google.com/rss/articles/CBMi4wFBVV95cUxOOVNGOWFLcFJGQV9neEV5WURDOGZMQTVScm1hNW9hYTVDbDh5ZjNxZGpXTWREMDhETzFJUUozWTBsdDlwX0tBU2EwYlZ2VnZJdjVyaG4xaG51SE1Qa25ra3NxREktWUFqbEl1cll4RkxoOE5oUmxsd09hdC00dEJNeG1na3hvV2ZfNGl3Q2ZObmt2bUdaWm5hZWZZeGRFVUxKLWJUSDNMZEhmZXF6a3czaVh1NVBPV2NZVVJObjdMVWxkMU02dHVwSzZURXB3TGpHcG5DMWV2cVdwZ0dJSkdBOW9BSQ?oc=5,{'name': 'MarketBeat'}
2026-08-29 11:04:57+00:00,Starbucks Corporation $SBUX Shares Acquired by Toth Financial Advisory Corp - MarketBeat,Starbucks Corporation $SBUX Shares Acquired by Toth Financial Advisory Corp - MarketBeat,https://news.google.com/rss/articles/CBMi0AFBVV95cUxOTDNjbER5WU44enRyWUpNZDljRnNLZ3Bqc1lrYnhaTjdwa25PSVdwSmc0dk0wdndFd1YyZlNZeXVDcGJmdDZSZlplVVdDRG9tYWp6cm9PX09zbENyOXcxSWloNHR5Y0tWb2thcUlVRUZleldJNDFpSHFOZlk5YjFHeFZZMkVDU0xwaWsyWWpZSGFVWEFyTVN2SERmYldxbmhSRUJqbndlT29Rb2JTVTJpXzZZZmlKYUNCaEtnQ1FPU1RLTnMwSElCcFhMTGtEcHlC?oc=5,{'name': 'MarketBeat'}
2026-08-29 08:52:20+00:00,"175,141 Shares in Starbucks Corporation $SBUX Bought by Empowered Funds LLC - MarketBeat","175,141 Shares in Starbucks Corporation $SBUX Bought by Empowered Funds LLC - MarketBeat",https://news.google.com/rss/articles/CBMizwFBVV95cUxNVEZ1c2ktcnNnNmdYM0w5Y2dBSDhfUGRNNU1KMlJtajZCc0U1Y0N1bDFvTHBkWFlCNzFpd1MxOExTZWpQYl9YVm5JMWRjVzQ0SklmVmxNWHhGR3otQ3BzNHlZcFBVNzRuckJPWVZSUC01cnd2YUIzaXEwTzI3d0RRVXloUXFHRTdUNDNzOFZ1VzRBVngzZFNnMWxoQm04U3JDZm1Ib3hCZlB0MGFQX0xoNW9CbWJFQkVPRmR0WGFrV2RlQk4xYm1RYTNvWFlSaTQ?oc=5,{'name': 'MarketBeat'}
