Date,Close,High,Low,n,Open,Volume,vw,Dividends,Stock Splits
2020-07-27 00:00:00+00:00,162.98,163.58,160.3,633,161.71,51502,162.88,0.0,0.0
2020-07-28 00:00:00+00:00,162.8,163.92,161.72,547,162.04,45895,163.07,0.0,0.0
2020-07-29 00:00:00+00:00,166.82,167.35,163.07,610,163.29,91019,165.86,0.0,0.0
2020-07-30 00:00:00+00:00,164.8,165.72,163.21,823,165.02,67264,164.19,0.0,0.0
2020-07-31 00:00:00+00:00,163.33,163.7,160.55,427,163.7,30949,162.24,0.0,0.0
2020-08-03 00:00:00+00:00,164.46,165.54,163.24,461,163.73,23973,164.64,0.0,0.0
2020-08-04 00:00:00+00:00,164.95,165.56,163.96,386,163.96,17362,164.74,0.0,0.0
2020-08-05 00:00:00+00:00,169.28,169.97,166.96,576,167.0,41221,168.66,0.0,0.0
2020-08-06 00:00:00+00:00,167.89,169.51,166.95,408,168.79,21939,167.77,0.0,0.0
2020-08-07 00:00:00+00:00,169.8,170.03,166.59,725,167.7,145775,167.79,0.0,0.0
2020-08-10 00:00:00+00:00,175.83,177.14,170.97,750,170.97,170066,173.51,0.0,0.0
2020-08-11 00:00:00+00:00,178.96,181.32,177.95,1131,178.09,63265,179.87,0.0,0.0
2020-08-12 00:00:00+00:00,178.18,178.46,175.73,519,177.85,33257,177.55,0.0,0.0
2020-08-13 00:00:00+00:00,175.54,176.93,174.52,711,175.67,62674,175.18,0.0,0.0
2020-08-14 00:00:00+00:00,176.96,178.86,174.64,378,174.83,20499,177.62,0.0,0.0
2020-08-17 00:00:00+00:00,178.66,179.61,177.24,377,178.47,26701,178.55,0.0,0.0
2020-08-18 00:00:00+00:00,177.92,180.03,177.67,885,180.03,67402,178.14,0.0,0.0
2020-08-19 00:00:00+00:00,177.75,180.13,177.75,1277,178.44,113718,179.28,0.0,0.0
2020-08-20 00:00:00+00:00,177.01,177.78,175.39,1104,175.69,85190,177.17,0.0,0.0
2020-08-21 00:00:00+00:00,184.7,187.81,181.6,2534,182.1,255257,185.7,0.0,0.0
2020-08-24 00:00:00+00:00,190.16,191.08,187.84,1673,189.22,166995,190.12,0.0,0.0
2020-08-25 00:00:00+00:00,190.41,193.51,190.18,1280,190.62,127512,192.11,0.0,0.0
2020-08-26 00:00:00+00:00,195.21,196.48,189.7,1004,190.59,91827,194.15,0.0,0.0
2020-08-27 00:00:00+00:00,194.37,196.66,193.64,1608,195.51,208648,195.42,0.0,0.0
2020-08-28 00:00:00+00:00,194.32,194.96,193.29,921,194.44,90060,194.36,0.0,0.0
2020-08-31 00:00:00+00:00,194.81,195.72,192.38,1042,194.29,86556,195.13,0.0,0.0
2020-09-01 00:00:00+00:00,201.56,201.56,193.13,1240,193.13,93639,199.61,0.0,0.0
