Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2025-08-28 00:00:00+00:00,61.7599983215332,61.970001220703125,61.02000045776367,61.279998779296875,7242500,0.0,0.0
2025-08-29 00:00:00+00:00,61.279998779296875,61.650001525878906,61.0099983215332,61.439998626708984,5866800,0.0,0.0
2025-09-02 00:00:00+00:00,61.58000183105469,62.060001373291016,61.20000076293945,61.790000915527344,7815300,0.0,0.0
2025-09-03 00:00:00+00:00,61.36000061035156,61.77000045776367,59.369998931884766,61.29999923706055,10566600,0.0,0.0
2025-09-04 00:00:00+00:00,61.400001525878906,61.54999923706055,60.88999938964844,60.900001525878906,4612500,0.0,0.0
2025-09-05 00:00:00+00:00,61.029998779296875,62.5099983215332,60.95000076293945,61.7400016784668,6149600,0.0,0.0
2025-09-08 00:00:00+00:00,61.59000015258789,61.970001220703125,61.0,61.939998626708984,6540800,0.0,0.0
2025-09-09 00:00:00+00:00,61.84000015258789,62.86000061035156,61.720001220703125,62.56999969482422,5785000,0.0,0.0
2025-09-10 00:00:00+00:00,62.290000915527344,62.470001220703125,61.369998931884766,62.27000045776367,6678900,0.0,0.0
2025-09-11 00:00:00+00:00,62.33000183105469,63.20000076293945,62.0,62.04999923706055,6423900,0.0,0.0
2025-09-12 00:00:00+00:00,61.97999954223633,62.470001220703125,61.689998626708984,61.97999954223633,4853600,0.0,0.0
2025-09-15 00:00:00+00:00,62.0,62.68000030517578,61.56999969482422,61.599998474121094,6760500,0.0,0.0
2025-09-16 00:00:00+00:00,61.619998931884766,62.95000076293945,61.459999084472656,62.70000076293945,8403200,0.0,0.0
2025-09-17 00:00:00+00:00,62.689998626708984,63.599998474121094,62.619998931884766,62.83000183105469,7039900,0.0,0.0
2025-09-18 00:00:00+00:00,62.27000045776367,63.36000061035156,62.11000061035156,63.25,6596000,0.0,0.0
2025-09-19 00:00:00+00:00,63.599998474121094,64.02999877929688,62.97999954223633,63.709999084472656,17133800,0.0,0.0
2025-09-22 00:00:00+00:00,63.310001373291016,63.65999984741211,62.97999954223633,63.5,7358100,0.0,0.0
2025-09-23 00:00:00+00:00,63.38999938964844,63.869998931884766,63.22999954223633,63.81999969482422,6698200,0.0,0.0
