,prob_up,Close,sma200,rsi,atr,cash,holdings,total,signal,stop_loss,benchmark
2018-03-01 14:30:00+00:00,0.26693782,53.570499420166016,50.664230003356934,64.68958838027562,1.3234282902308874,10000.0,0.0,10000.0,0,0.0,10000.0
2018-03-02 14:30:00+00:00,0.4157362,54.207000732421875,50.69411251068115,59.91413091838341,1.259356907435826,10000.0,0.0,10000.0,0,0.0,10118.815639044848
2018-03-05 14:30:00+00:00,0.4048723,54.737998962402344,50.73225999832153,60.39725558888193,1.2908927372523717,10000.0,0.0,10000.0,0,0.0,10217.93702781812
2018-03-06 14:30:00+00:00,0.34828165,55.04499816894531,50.76985998153687,61.74636564249146,1.279571533203125,10000.0,0.0,10000.0,0,0.0,10275.244540323296
2018-03-07 14:30:00+00:00,0.38080946,55.75199890136719,50.80995748519897,60.87760321360205,1.2817862374441964,10000.0,0.0,10000.0,0,0.0,10407.22029938365
2018-03-08 14:30:00+00:00,0.29676628,56.46900177001953,50.851284999847415,59.989488032316764,1.2443932124546595,10000.0,0.0,10000.0,0,0.0,10541.06315625693
2018-03-09 14:30:00+00:00,0.21380177,58.04199981689453,50.898857498168944,65.01239310758359,1.29678589957101,10000.0,0.0,10000.0,0,0.0,10834.694551129247
2018-03-12 13:30:00+00:00,0.399463,58.29650115966797,50.9459375,64.52333731462677,1.2706075395856584,10000.0,0.0,10000.0,0,0.0,10882.202292428674
2018-03-13 13:30:00+00:00,0.24044774,56.99549865722656,50.98295000076294,55.675102196185684,1.3092504228864397,10000.0,0.0,10000.0,0,0.0,10639.34427980547
2018-03-14 13:30:00+00:00,0.3664213,57.44449996948242,51.02185499191284,58.274264206092646,1.307607650756836,10000.0,0.0,10000.0,0,0.0,10723.159311794294
2018-03-15 13:30:00+00:00,0.33014032,57.53049850463867,51.060464992523194,55.13826133903332,1.3300361633300781,10000.0,0.0,10000.0,0,0.0,10739.212650121748
2018-03-16 13:30:00+00:00,0.30195788,56.72100067138672,51.097297496795655,47.888218917025306,1.3633932386125838,10000.0,0.0,10000.0,0,0.0,10588.10376705854
2018-03-19 13:30:00+00:00,0.30446965,55.003501892089844,51.12524250030518,46.17343445027361,1.4278218405587333,10000.0,0.0,10000.0,0,0.0,10267.498434293926
2018-03-20 13:30:00+00:00,0.59355545,54.790000915527344,51.15016250610351,48.14239486102665,1.422393526349749,-10.0,9995.002498750626,9985.002498750626,1,52.65641062600272,10227.64422743131
2018-03-21 13:30:00+00:00,0.46346322,54.70000076293945,51.17269250869751,56.01278211876721,1.3420720781598772,9953.616448600416,0.0,9953.616448600416,-1,0.0,10210.843907560853
2018-03-22 13:30:00+00:00,0.6086451,52.657501220703125,51.18681001663208,42.82539471148864,1.3691436222621374,-9.95361644859986,9948.642127536648,9938.688511088048,1,50.60378578730992,9829.570713481306
2018-03-23 13:30:00+00:00,0.8085792,51.32749938964844,51.19307250976563,35.29640656685123,1.4155723026820592,-9.95361644859986,9697.363355483383,9687.409739034783,0,50.60378578730992,9581.29939896113
2018-03-26 13:30:00+00:00,0.87022483,52.704498291015625,51.20552499771118,40.76179491284706,1.5497150421142578,-9.95361644859986,9957.521337957629,9947.567721509029,0,50.60378578730992,9838.343652098862
2018-03-27 13:30:00+00:00,0.8932419,50.34700012207031,51.21472999572754,31.12516245061836,1.694822038922991,9487.894712580579,0.0,9487.894712580579,-1,0.0,9398.269694517301
2018-03-28 13:30:00+00:00,0.9196464,50.25899887084961,51.22557249069214,27.317542283109802,1.7826434544154577,9487.894712580579,0.0,9487.894712580579,0,0.0,9381.842509373759
2018-03-29 13:30:00+00:00,0.832433,51.856998443603516,51.24223247528076,27.450047187175727,1.8268936702183314,-9.487894712579873,9483.153136012574,9473.665241299994,1,49.11665793827602,9680.140936689215
2018-04-02 13:30:00+00:00,0.84086645,50.631500244140625,51.25340747833252,23.901933297527208,1.9208935328892298,-9.487894712579873,9259.044771814573,9249.556877101993,0,49.11665793827602,9451.377305077156
2018-04-03 13:30:00+00:00,0.8221509,50.933998107910156,51.268032474517824,27.855902949128293,1.8648935045514787,-9.487894712579873,9314.36292850586,9304.87503379328,0,49.11665793827602,9507.844552357597
2018-04-04 13:30:00+00:00,0.832433,51.48550033569336,51.285804977416994,28.39218834348725,1.9233935219900948,-9.487894712579873,9415.216819743086,9405.728925030506,0,49.11665793827602,9610.793420438447
2018-04-05 13:30:00+00:00,0.832433,51.63199996948242,51.30015996932983,28.70500489716612,1.9086434500558036,-9.487894712579873,9442.00738810007,9432.51949338749,0,49.11665793827602,9638.140493057657
2018-04-06 13:30:00+00:00,0.8221509,50.497501373291016,51.3103999710083,28.046840494689448,1.9240006038120814,-9.487894712579873,9234.540233363476,9225.052338650896,0,49.11665793827602,9426.363748679512
2018-04-09 13:30:00+00:00,0.8729829,51.00450134277344,51.320774974822996,34.576513767020444,1.8852146693638392,-9.487894712579873,9327.255941847536,9317.768047134956,0,49.11665793827602,9521.005384462278
2018-04-10 13:30:00+00:00,0.8943286,51.82500076293945,51.335744972229,39.0759664954327,1.8947503226143974,-9.487894712579873,9477.30168076368,9467.8137860511,0,49.11665793827602,9674.167932701868
2018-04-11 13:30:00+00:00,0.8770719,51.25299835205078,51.34548746109009,37.735704108367216,1.8797860826764787,-9.487894712579873,9372.69889580834,9363.21100109576,0,49.11665793827602,9567.392297402612
2018-04-12 13:30:00+00:00,0.8347,51.864498138427734,51.361787452697754,46.85864672905302,1.7913216182163783,-9.487894712579873,9484.524614436428,9475.036719723848,0,49.17751571110317,9681.540904004318
2018-04-13 13:30:00+00:00,0.8157186,51.801998138427734,51.38377494812012,52.08947516133243,1.7231785910470145,-9.487894712579873,9473.095162505357,9463.607267792777,0,49.21723025185721,9669.874034985645
2018-04-16 13:30:00+00:00,0.83020073,52.30500030517578,51.40504745483398,48.09408895040743,1.6118213108607702,-9.487894712579873,9565.079787882496,9555.591893169916,0,49.887268338884624,9763.769401314577
2018-04-17 13:30:00+00:00,0.74859136,53.96799850463867,51.440432453155516,68.50091273435385,1.5117498125348772,-9.487894712579873,9869.194315597993,9859.706420885414,0,51.700373785836355,10074.201116057351
2018-04-18 13:30:00+00:00,0.36256438,53.769500732421875,51.476859951019286,67.73608519544555,1.4063568115234375,9808.657546774297,0.0,9808.657546774297,-1,0.0,10037.147555914122
2018-04-19 13:30:00+00:00,0.290457,54.47249984741211,51.519357452392576,64.52814947413304,1.3509281703404017,9808.657546774297,0.0,9808.657546774297,0,0.0,10168.376333431472
2018-04-20 13:30:00+00:00,0.4115877,53.86600112915039,51.55562246322632,69.29318504490914,1.2701067243303572,9808.657546774297,0.0,9808.657546774297,0,0.0,10055.161275736229
2018-04-23 13:30:00+00:00,0.38078254,53.69049835205078,51.592152462005615,66.69493051504432,1.2471425192696708,9808.657546774297,0.0,9808.657546774297,0,0.0,10022.400189130876
2018-04-24 13:30:00+00:00,0.50093144,51.13199996948242,51.61260995864868,48.27770780665975,1.335427965436663,9808.657546774297,0.0,9808.657546774297,0,0.0,9544.805540908268
2018-04-25 13:30:00+00:00,0.52978307,51.14950180053711,51.630607471466064,47.61929140492135,1.3223925999232702,9808.657546774297,0.0,9808.657546774297,0,0.0,9548.072606036301
2018-04-26 13:30:00+00:00,0.7004686,52.16550064086914,51.65305248260498,58.327505579625935,1.3288928440638952,-9.808657546775066,9803.755668939828,9793.947011393053,1,50.172161374773296,9737.72901232875
2018-04-27 13:30:00+00:00,0.6495024,51.5724983215332,51.66899997711182,52.81158736494311,1.2912856510707311,-9.808657546775066,9692.309410810189,9682.500753263414,0,50.172161374773296,9627.033326129358
2018-04-30 13:30:00+00:00,0.74521196,50.92900085449219,51.6814324760437,45.48569161120481,1.2708211626325334,-9.808657546775066,9571.373315825043,9561.564658278268,0,50.172161374773296,9506.911715540306
2018-05-01 13:30:00+00:00,0.6555047,52.037498474121094,51.69739246368408,53.749823124677704,1.3201781681605749,-9.808657546775066,9779.69950246053,9769.890844913754,0,50.172161374773296,9713.834860111856
2018-05-02 13:30:00+00:00,0.86548567,51.3025016784668,51.709914970397946,47.34506384238926,1.3245710645403181,-9.808657546775066,9641.567424487082,9631.758766940307,0,50.172161374773296,9576.633078607161
