publishedAt,Title,description,url,source,sentiment_label,sentiment_score
2026-08-25 08:05:27+00:00,"Stock market today: S&P 500, Nasdaq futures recover in countdown to Nvidia earnings, Fed Jackson Hole summit","Investors weighed new trade measures against Canada and Iran, looming Nvidia earnings, and predictions for Kevin Warsh's first Jackson Hole speech as Fed chair.",https://finance.yahoo.com/markets/live/stock-market-today-tuesday-august-25-dow-sp-500-nasdaq-080527092.html,{'name': 'Yahoo Finance'},Neutral,0.9987214207649231
2026-08-25 07:52:49+00:00,"Stocks rise and oil slips as traders eye Iran threat, Nvidia results","Stocks rose and oil dipped on Tuesday as investors assessed a US plan for the ""economic asphyxiation"" of Iran, while tech firms struggled following another down day on Wall Street and ahead of earnings from chip titan Nvidia.Investors are looking ahead to the much-anticipated release of earnings from Nvidia, which has become a bellwether for the AI boom.",https://finance.yahoo.com/markets/stocks/articles/stocks-stagger-oil-rises-traders-024603014.html,{'name': 'AFP'},Negative,0.84234219789505
2026-08-25 07:43:01+00:00,Prediction: TSMC Stock Will Soar After Aug. 26 Thanks to Nvidia’s Historic Quarter,Nvidia's upcoming earnings report is likely to give TSMC stock a nice shot in the arm.,https://www.fool.com/investing/2026/08/25/prediction-tsmc-stock-will-soar-after-aug-26-thanks-to-nvidia-s-historic-quarter/,{'name': 'Motley Fool'},Positive,1.0
2026-08-25 07:14:52+00:00,Nvidia To Move Markets More Than Warsh: 3-Minute MLIV,"Anna Edwards, Guy Johnson, Tom Mackenzie and Mark Cudmore break down today's key themes for analysts and investors on ""Bloomberg: The Opening Trade.""",https://finance.yahoo.com/video/nvidia-move-markets-more-warsh-071452519.html,{'name': 'Bloomberg'},Neutral,0.9999762773513794
2026-08-25 06:45:00+00:00,One of Taiwan’s Biggest AI Winners Isn’t a Chip Maker,Taiwan’s richest person rode the AI boom but his company has nothing to do with technology—it’s a furniture-component maker called King Slide Works.,https://www.wsj.com/business/one-of-taiwans-biggest-ai-winners-isnt-a-chip-maker-51768bd5?siteid=yhoof2&yptr=yahoo,{'name': 'The Wall Street Journal'},Neutral,0.9999297857284546
2026-08-25 06:35:00+00:00,Is The Metals Company a Potential Millionaire-Maker Stock?,This company aims to revolutionize the mining industry.,https://www.fool.com/investing/2026/08/25/is-the-metals-company-a-potential-millionaire-make/,{'name': 'Motley Fool'},Positive,0.9666767120361328
2026-08-24 14:56:00+00:00,How investors should approach Nvidia’s earnings,"Yahoo Finance Executive Editor Brian Sozzi breaks down Opening Bid's Stock of the Day, Nvidia (NVDA), ahead of the AI giant’s earnings report on Wednesday. Joined by B. Riley Wealth chief market strategist Art Hogan, Sozzi explores what everyday investors should be watching and how they should approach the highly anticipated call.",https://finance.yahoo.com/video/investors-approach-nvidia-earnings-145600454.html,{'name': 'Yahoo Finance Video'},Neutral,0.9999988079071045
2026-08-24 08:03:06+00:00,"Stock market today: S&P 500, Nasdaq fall as chip stocks sink, US unveils new Iran sanctions",Markets are kicking off an action-packed week featuring Nvidia earnings and the Federal Reserve's Jackson Hole Symposium.,https://finance.yahoo.com/markets/live/stock-market-today-monday-august-24-dow-sp-500-nasdaq-080306047.html,{'name': 'Yahoo Finance'},Neutral,0.9998273849487305
2026-08-23 11:25:02+00:00,Nvidia's Q2 earnings to test resurgent AI trade,Nvidia will report its Q2 earnings after the bell on Aug. 26.,https://finance.yahoo.com/news/nvidias-q2-earnings-to-test-resurgent-ai-trade-112502189.html,{'name': 'Yahoo Finance'},Neutral,0.9997352957725525
2026-08-23 10:00:00+00:00,Nvidia earnings and Jackson Hole: What to watch this week,Nvidia earnings headline a busy week with an all-important inflation reading,https://finance.yahoo.com/markets/article/nvidia-earnings-and-jackson-hole-what-to-watch-this-week-100000082.html,{'name': 'Yahoo Finance'},Neutral,0.897343099117279
