publishedAt,Title,description,url,source,sentiment_label,sentiment_score,prob_positive,prob_negative,prob_neutral,sentiment_confidence
2026-08-27 19:15:29+00:00,Booking Holdings Inc Stock (BKNG) Moved Down by 3.10% on Aug 27: Facts Behind the Movement - TradingKey,Booking Holdings Inc Stock (BKNG) Moved Down by 3.10% on Aug 27: Facts Behind the Movement - TradingKey,https://news.google.com/rss/articles/CBMiiwFBVV95cUxNUnU5aVJ5VDllNmdPUzJORXFtbWtUSHRWX2oyWFpQNGVRT3dFLWp3YjBzcURvaTBMS2JrLTRxV3BSNElZNmlJNlp0VGFQZkE3QzcyNVBOVnRfVDVjTFVxQlNmMFdtNlpRYTFrclIwd3g0UGY2RG5mblp6TXlGUUdRSTJBU2tMcVVWRHNr?oc=5,{'name': 'TradingKey'},negative,-0.7933,0.0002,0.7935,0.2063,0.7935
2026-08-27 19:02:59+00:00,Booking Holdings stock eases after Q2 2026 beat as investors weigh travel demand - Ad-hoc-news.de,Booking Holdings stock eases after Q2 2026 beat as investors weigh travel demand - Ad-hoc-news.de,https://news.google.com/rss/articles/CBMi0gFBVV95cUxOWkRnVWx0aXYxZE90Qi1yQU13d2N6NkZKaHBERzNwV05fR0dKNURWNElyTTNQYVhhNXY2Y294eUxvVUZ4RjhwRFNCQmdZNnJ3UVZKVGMta3h6UHVZZWpKTjVnVzJqa0lsU0xiOFFRcFZ2bmVrZHR4eFhkam81UUQ5NXptNG5lRFljQk9ibkNTenE5YmRxY3ZXaTNIRFVBeHlZT0NMYm1HT25pYTg1M3VIc2JtQ2hNdDUybEx4SWM2T2MyNHp6azN3dV9iazNUbUtvQkE?oc=5,{'name': 'Ad-hoc-news.de'},positive,0.99,0.995,0.0049,0.0001,0.995
2026-08-26 14:04:59+00:00,Why is Booking stock sliding today? - Investing.com,Why is Booking stock sliding today? - Investing.com,https://news.google.com/rss/articles/CBMinAFBVV95cUxOM0RKaWJZcG9DNThHQ3BfTzJydUVzWWFwZUNwVWFkTjhCUnRMby1WdEZwc2FWbzdndmV4VkxqMUxrTG53cDh6MWdRbnBWbEZJTWJhaUp4S1JEajZ3c0c0WDVtZkpCcHh6MXl1NDNaeUNjUnhBZXpuMzE3YXZSSHBVOE9EOHBVMGExS0syLUJKd3NsX2R2SUF5MTNaelA?oc=5,{'name': 'Investing.com'},neutral,-0.0076,0.0001,0.0077,0.9923,0.9923
2026-08-26 13:51:38+00:00,Bernstein SocGen reiterates Booking Holdings stock rating at Market Perform By Investing.com - Investing.com Canada,Bernstein SocGen reiterates Booking Holdings stock rating at Market Perform By Investing.com - Investing.com Canada,https://news.google.com/rss/articles/CBMi0gFBVV95cUxPQXBvS1J0SFRETlRwUkY3djV6aElmRjZ1SnlkMDF3T29qWThibzdSRGZ6VlZlUUV2ZVRRSWk3UHVtM2pwbVhTOGZSQmNaTzAwdEdsWnRhWWl1NTU3Y2JSaUxNaXZ2Zm9SWHJfOXZTcTZFWUZLUUxWTndGdzE5dkl0UUh4TU9DT1pubkhXS2s1Si1EY3lpZkg1MzVNRndQTGxsQldLRDEzWDlhcWh5WU8xV21ENEtPMUVnM1JrTFlkRjZ0SFRVT2hhQ0txVHJSNkZjZlE?oc=5,{'name': 'Investing.com Canada'},neutral,0.012,0.0121,0.0001,0.9878,0.9878
2026-08-25 18:05:33+00:00,"BKNG Stock Climbs After Hours: Q4 Earnings Beat, Stock Split And $700M AI Push Makes Traders Bullish - Stocktwits","BKNG Stock Climbs After Hours: Q4 Earnings Beat, Stock Split And $700M AI Push Makes Traders Bullish - Stocktwits",https://news.google.com/rss/articles/CBMiwgFBVV95cUxOTWVGb0JkVDMzdTd4bGxCTmtpRy1ZZ1pockNlTXBqSS1wY1BQanFDYjFMZXg5bUxLSHRPN195WEJHWHBtWEN6alhPY24tSmszenBPb3BSekJjWXFKQVA4TnFoTmlrdngtMHRmWkJsdlR2MUVzVElvN3hrUGMwampabXd3TnV5WjRqa2tWaGdoVzdJZWQtQzJaQ0JjaHU1Rl9PQXY1TTdpM2VLR3lPeEVGSldlSGRHeGpqX09lVG92UlNqZw?oc=5,{'name': 'Stocktwits'},positive,1.0,1.0,0.0,0.0,1.0
2026-08-25 13:00:00+00:00,Booking Holdings CEO Glenn Fogel to Give Keynote in New York Sept. 8 - Stock Titan,Booking Holdings CEO Glenn Fogel to Give Keynote in New York Sept. 8 - Stock Titan,https://news.google.com/rss/articles/CBMitAFBVV95cUxPenYwal91ZUxQQklPbzJPU3JGLU0tWHBPaFk1VXc5VzIwQzJzTFRab09YbFRDSFYteHRXX19YbWJPX1hoSTlPNFFrTHNleGFFQUhkZUxiR1ZMQjZDYk9LMUtRa3N0LUM0QXlyNzlXXzEyRXVhb2EwclVvSkU0Ti1aUzVmSFlHZDlqUWVaZ2VrbVBGQi1EazBweGNxaXhtblkyOHJqMGxSZDlIZVJKZ21IYnVVMFk?oc=5,{'name': 'Stock Titan'},neutral,0.0,0.0,0.0,1.0,1.0
2026-08-25 01:55:42+00:00,Get Paid 10.0% To Cap Your BKNG Stock At 15% Higher - Trefis,Get Paid 10.0% To Cap Your BKNG Stock At 15% Higher - Trefis,https://news.google.com/rss/articles/CBMirwFBVV95cUxNVXNZUGFmVzY3M0pQS1k3MnV3VzdLcEZ3eFRrV0RBemlMUUNNTXJEaXQzYUNON2NHeWNvV0l2UGd3LXlJa1luOVpVYVJ6c1EzSWZvWkExdVNsZER4ZEE4RWlxSGtoZHhoN1lWNDFXVkxYOFl5VzhRallnQ05fbkxNekExQkZZWkg5aERJNEVyUm82NkNIMGk5ci01M093N09xZzBEOVFvOUJhQW1UY05n?oc=5,{'name': 'Trefis'},neutral,0.0806,0.0807,0.0001,0.9192,0.9192
2026-08-24 18:36:23+00:00,BKNG Stock Falls To Over 16-Month Lows – Brokerages Flag AI-Related Uncertainties - Stocktwits,BKNG Stock Falls To Over 16-Month Lows – Brokerages Flag AI-Related Uncertainties - Stocktwits,https://news.google.com/rss/articles/CBMirgFBVV95cUxQVGQ0ZWJ2T29odERMV01HQkFydS1LNFhrSGJuZGtJUVVORDdvaXpqMHlvZ2VoNXhLenJHQjZEWVhkMFE4SXlTRnR0VURuN1JTYWN3NE9YSXN4Q1JMYlRKbmZyOXdWeUFhTlRhUEdGcGtoOTVxNkI2aEVLZWZ2WHhYNFJDLVlsa3dHc3NDdXhKN0JoWjV6RE9hZjNaRmN3VjlSU1o2aUgwN2MwYklHRGc?oc=5,{'name': 'Stocktwits'},neutral,-0.0029,0.0001,0.0031,0.9968,0.9968
