,Open,Close,sma200,rsi,atr,prob_up,cash,holdings,borrowed_margin,total,signal,stop_loss,benchmark
2016-09-19 00:00:00+00:00,1.5875,1.59175,,,,0.5714285714285713,10000.0,0.0,0.0,10000.0,0,0.0,10000.0
2016-09-20 00:00:00+00:00,1.61,1.57725,,,,0.5714285714285713,10000.0,0.0,0.0,10000.0,0,0.0,9908.905
2016-09-21 00:00:00+00:00,1.582,1.6215,,,,0.5789473684210527,10000.0,0.0,0.0,10000.0,0,0.0,10186.901
2016-09-22 00:00:00+00:00,1.631,1.6255,,,,0.5714285714285713,10000.0,0.0,0.0,10000.0,0,0.0,10212.03
2016-09-23 00:00:00+00:00,1.6275,1.62375,,,,0.5714285714285713,10000.0,0.0,0.0,10000.0,0,0.0,10201.037
2016-09-26 00:00:00+00:00,1.60525,1.6085,,,,0.5714285714285713,10000.0,0.0,0.0,10000.0,0,0.0,10105.23
2016-09-27 00:00:00+00:00,1.60225,1.6635,,,,0.5714285714285713,10000.0,0.0,0.0,10000.0,0,0.0,10450.762
2016-09-28 00:00:00+00:00,1.666,1.6695,,,,0.5714285714285713,10000.0,0.0,0.0,10000.0,0,0.0,10488.456
2016-09-29 00:00:00+00:00,1.66675,1.685,,,,0.5714285714285713,10000.0,0.0,0.0,10000.0,0,0.0,10585.833
2016-09-30 00:00:00+00:00,1.69425,1.713,,,,0.5714285714285713,10000.0,0.0,0.0,10000.0,0,0.0,10761.74
2016-10-03 00:00:00+00:00,1.713,1.71125,,,,0.5714285714285713,10000.0,0.0,0.0,10000.0,0,0.0,10750.745
2016-10-04 00:00:00+00:00,1.71375,1.7075,,,,0.5714285714285713,10000.0,0.0,0.0,10000.0,0,0.0,10727.187
2016-10-05 00:00:00+00:00,1.722,1.70575,,,,0.5714285714285713,10000.0,0.0,0.0,10000.0,0,0.0,10716.191
2016-10-06 00:00:00+00:00,1.68525,1.6835,,79.76499,,0.5789473684210527,10000.0,0.0,0.0,10000.0,0,0.0,10576.409
2016-10-07 00:00:00+00:00,1.69475,1.67125,,71.46199,0.039142855,0.5714285714285713,10000.0,0.0,0.0,10000.0,0,0.0,10499.45
2016-10-10 00:00:00+00:00,1.68,1.6775,,67.58848,0.03782143,0.5789473684210527,-10.0,9995.002498750626,0.0,9985.002498750626,1,1.6125357151031494,10538.715
2016-10-11 00:00:00+00:00,1.672,1.65325,,73.01951,0.036803577,0.6363636363636364,-10.0,9850.514405730486,0.0,9840.514405730486,0,1.6207678318023682,10386.367
2016-10-12 00:00:00+00:00,1.6465,1.66075,,58.027798,0.03607144,0.5789473684210527,-10.0,9895.201358048447,0.0,9885.201358048447,0,1.6207678318023682,10433.484
